WKT,SERIES,COUNTY,SHEET_MAP,SHEET_NO,EDITION,SURV_RANG,PUB_RANGE,SURV_SORT,PUB_SORT,IMAGE,SHEET,DATES,IMAGETHUMB,IMAGEURL,YEAR
"MULTIPOLYGON (((-3.22910288839222 55.9729593022618,-3.22919969773773 55.9874125100071,-3.19052348927264 55.9874880363694,-3.19044103939019 55.9730345987152,-3.22910288839222 55.9729593022618)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,I.15,001_15,"2","1894","1896","1894","1896","82877202","Edinburghshire, I.15","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877202.4.jpg,https://maps.nls.uk/view/82877202,"1896"
"MULTIPOLYGON (((-3.19044103939019 55.9730345987152,-3.19052348927264 55.9874880363694,-3.15184722554455 55.9875514223961,-3.15177941547965 55.9730977563949,-3.19044103939019 55.9730345987152)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,I.16,001_16,"2","1894","1896","1894","1896","82877205","Edinburghshire, I.16","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877205.4.jpg,https://maps.nls.uk/view/82877205,"1896"
"MULTIPOLYGON (((-3.15177941547965 55.9730977563949,-3.15184722554455 55.9875514223961,-3.11317052644053 55.9876026961687,-3.11311711932733 55.9731489719506,-3.15177941547965 55.9730977563949)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IA.13,001A_13,"2","1894","1896","1894","1896","82877184","Edinburghshire, IA.13","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877184.4.jpg,https://maps.nls.uk/view/82877184,"1896"
"MULTIPOLYGON (((-3.2290061655426 55.9585063571934,-3.22910288839222 55.9729593022618,-3.19044103939019 55.9730345987152,-3.19035893386503 55.9585814449766,-3.2290061655426 55.9585063571934)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.3,003_03,"2","1894","1896","1894","1896","82877349","Edinburghshire, III.3","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877349.4.jpg,https://maps.nls.uk/view/82877349,"1896"
"MULTIPOLYGON (((-3.19035893386503 55.9585814449766,-3.19044103939019 55.9730345987152,-3.15177941547965 55.9730977563949,-3.15171182605962 55.9586442842086,-3.19035893386503 55.9585814449766)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.4,003_04,"2","1894","1896","1894","1896","82877361","Edinburghshire, III.4","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877361.4.jpg,https://maps.nls.uk/view/82877361,"1896"
"MULTIPOLYGON (((-3.15171182605962 55.9586442842086,-3.15177941547965 55.9730977563949,-3.11311711932733 55.9731489719506,-3.11306427070517 55.9586955337644,-3.15171182605962 55.9586442842086)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IV.1 & 2,004_01,"2","1894","1896","1894","1896","82877520","Edinburghshire, IV.1 & 2","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877520.4.jpg,https://maps.nls.uk/view/82877520,"1896"
"MULTIPOLYGON (((-3.19011139037105 55.9152204437349,-3.19019412471971 55.9296743880778,-3.15157544432111 55.9297371881732,-3.15150713593274 55.9152836175574,-3.19011139037105 55.9152204437349)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.16,003_16,"3","1905","1906","1905","1906","82877511","Edinburghshire, III.16","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1906",https://deriv.nls.uk/dcn4/8287/82877511.4.jpg,https://maps.nls.uk/view/82877511,"1906"
"MULTIPOLYGON (((-3.38359337731106 55.9580834555153,-3.38374788940603 55.9725369171256,-3.34508687145842 55.9726602825867,-3.34494679426619 55.958206736983,-3.38359337731106 55.9580834555153)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.3,002_03,"3","1905","1907","1905","1907","82877229","Edinburghshire, II.3","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877229.4.jpg,https://maps.nls.uk/view/82877229,"1907"
"MULTIPOLYGON (((-3.38343908131664 55.9436302979762,-3.38359337731106 55.9580834555153,-3.34494679426619 55.958206736983,-3.34480700281884 55.943753602335,-3.38343908131664 55.9436302979762)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.7,002_07,"3","1905","1907","1905","1907","82877253","Edinburghshire, II.7","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877253.4.jpg,https://maps.nls.uk/view/82877253,"1907"
"MULTIPOLYGON (((-3.38328492865799 55.9291770425632,-3.38343908131664 55.9436302979762,-3.34480700281884 55.943753602335,-3.34466729607646 55.9293004105191,-3.38328492865799 55.9291770425632)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.11,002_11,"3","1905","1907","1905","1907","82877280","Edinburghshire, II.11","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877280.4.jpg,https://maps.nls.uk/view/82877280,"1907"
"MULTIPOLYGON (((-3.38313081239833 55.9147236709683,-3.38328492865799 55.9291770425632,-3.34466729607646 55.9293004105191,-3.34452756877978 55.9148471764155,-3.38313081239833 55.9147236709683)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.15,002_15,"3","1905","1907","1905","1907","82877310","Edinburghshire, II.15","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877310.4.jpg,https://maps.nls.uk/view/82877310,"1907"
"MULTIPOLYGON (((-3.30567394690139 55.8860518264866,-3.30579889983286 55.9005052836406,-3.26720899614519 55.9006045908487,-3.26709840238464 55.8861510777961,-3.30567394690139 55.8860518264866)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.5,007_05,"3","1905","1907","1905","1907","82877895","Edinburghshire, VII.5","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877895.4.jpg,https://maps.nls.uk/view/82877895,"1907"
"MULTIPOLYGON (((-3.26709840238464 55.8861510777961,-3.26720899614519 55.9006045908487,-3.22861899706368 55.9006916896503,-3.22852278744926 55.8862381586815,-3.26709840238464 55.8861510777961)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.6,007_06,"3","1905","1907","1905","1907","82877907","Edinburghshire, VII.6","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877907.4.jpg,https://maps.nls.uk/view/82877907,"1907"
"MULTIPOLYGON (((-3.22852278744926 55.8862381586815,-3.22861899706368 55.9006916896503,-3.19002888227374 55.9007668904947,-3.18994693828201 55.8863133922505,-3.22852278744926 55.8862381586815)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.7,007_07,"3","1905","1907","1905","1907","82877919","Edinburghshire, VII.7","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877919.4.jpg,https://maps.nls.uk/view/82877919,"1907"
"MULTIPOLYGON (((-3.18994693828201 55.8863133922505,-3.19002888227374 55.9007668904947,-3.15143860733045 55.9008300830056,-3.15137199329922 55.886376297162,-3.18994693828201 55.8863133922505)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.8,007_08,"3","1905","1907","1905","1907","82877931","Edinburghshire, VII.8","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877931.4.jpg,https://maps.nls.uk/view/82877931,"1907"
"MULTIPOLYGON (((-3.30554910716965 55.8715983250667,-3.30567394690139 55.8860518264866,-3.26709840238464 55.8861510777961,-3.2669879532332 55.8716974963812,-3.30554910716965 55.8715983250667)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.9,007_09,"3","1905","1907","1905","1907","82877943","Edinburghshire, VII.9","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877943.4.jpg,https://maps.nls.uk/view/82877943,"1907"
"MULTIPOLYGON (((-3.2669879532332 55.8716974963812,-3.26709840238464 55.8861510777961,-3.22852278744926 55.8862381586815,-3.22842665803022 55.8717846507093,-3.2669879532332 55.8716974963812)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.10,007_10,"3","1905","1907","1905","1907","82877952","Edinburghshire, VII.10","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877952.4.jpg,https://maps.nls.uk/view/82877952,"1907"
"MULTIPOLYGON (((-3.22842665803022 55.8717846507093,-3.22852278744926 55.8862381586815,-3.18994693828201 55.8863133922505,-3.18986595218281 55.8718596418148,-3.22842665803022 55.8717846507093)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.11,007_11,"3","1905","1907","1905","1907","82877961","Edinburghshire, VII.11","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877961.4.jpg,https://maps.nls.uk/view/82877961,"1907"
"MULTIPOLYGON (((-3.18986595218281 55.8718596418148,-3.18994693828201 55.8863133922505,-3.15137199329922 55.886376297162,-3.15130561786472 55.8719223746588,-3.18986595218281 55.8718596418148)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.12,007_12,"3","1905","1907","1905","1907","82877970","Edinburghshire, VII.12","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82877970.4.jpg,https://maps.nls.uk/view/82877970,"1907"
"MULTIPOLYGON (((-3.15137199329922 55.886376297162,-3.15143860733045 55.9008300830056,-3.11285022000028 55.9008808036615,-3.11279752980166 55.8864269337664,-3.15137199329922 55.886376297162)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VIII.5,008_05,"3","1905","1907","1905","1907","82878057","Edinburghshire, VIII.5","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82878057.4.jpg,https://maps.nls.uk/view/82878057,"1907"
"MULTIPOLYGON (((-3.11279752980166 55.8864269337664,-3.11285022000028 55.9008808036615,-3.07426109646886 55.9009197340141,-3.07422210721001 55.8864657451219,-3.11279752980166 55.8864269337664)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VIII.6,008_06,"3","1905","1907","1905","1907","82878069","Edinburghshire, VIII.6","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1907",https://deriv.nls.uk/dcn4/8287/82878069.4.jpg,https://maps.nls.uk/view/82878069,"1907"
"MULTIPOLYGON (((-3.30655173416755 55.9872254674455,-3.30667776234556 56.0016791741077,-3.26798743496867 56.0017784752208,-3.26787610095217 55.9873249235033,-3.30655173416755 55.9872254674455)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,I.9,001_09,"3","1905","1908","1905","1908","82877148","Edinburghshire, I.9","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877148.4.jpg,https://maps.nls.uk/view/82877148,"1908"
"MULTIPOLYGON (((-3.30642573363329 55.9727716885678,-3.30655173416755 55.9872254674455,-3.26787610095217 55.9873249235033,-3.26776460133542 55.9728714680419,-3.30642573363329 55.9727716885678)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,I.13,001_13,"3","1905","1908","1905","1908","82877181","Edinburghshire, I.13","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877181.4.jpg,https://maps.nls.uk/view/82877181,"1908"
"MULTIPOLYGON (((-3.15177941547965 55.9730977563949,-3.15184722554455 55.9875514223961,-3.11317052644053 55.9876026961687,-3.11311711932733 55.9731489719506,-3.15177941547965 55.9730977563949)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IA.13,001A_13,"3","1905","1908","1905","1908","82877187","Edinburghshire, IA.13","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877187.4.jpg,https://maps.nls.uk/view/82877187,"1908"
"MULTIPOLYGON (((-3.30655173416755 55.9872254674455,-3.30642573330618 55.9727716509895,-3.34508687145842 55.9726602825867,-3.34522715244499 55.9871138648791,-3.30655173416755 55.9872254674455)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IB.16,001B_16,"3","1905","1908","1905","1908","82877220","Edinburghshire, IB.16","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877220.4.jpg,https://maps.nls.uk/view/82877220,"1908"
"MULTIPOLYGON (((-3.34494679426619 55.958206736983,-3.34508687145842 55.9726602825867,-3.30642573363329 55.9727716885678,-3.3063000537237 55.9583182844337,-3.34494679426619 55.958206736983)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.4,002_04,"3","1905","1908","1905","1908","82877238","Edinburghshire, II.4","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877238.4.jpg,https://maps.nls.uk/view/82877238,"1908"
"MULTIPOLYGON (((-3.34480700281884 55.943753602335,-3.34494679426619 55.958206736983,-3.3063000537237 55.9583182844337,-3.30617480024286 55.9438651282116,-3.34480700281884 55.943753602335)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.8,002_08,"3","1905","1908","1905","1908","82877262","Edinburghshire, II.8","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877262.4.jpg,https://maps.nls.uk/view/82877262,"1908"
"MULTIPOLYGON (((-3.34466729607646 55.9293004105191,-3.34480700281884 55.943753602335,-3.30617480024286 55.9438651282116,-3.30604952461011 55.9294119141767,-3.34466729607646 55.9293004105191)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.12,002_12,"3","1905","1908","1905","1908","82877289","Edinburghshire, II.12","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877289.4.jpg,https://maps.nls.uk/view/82877289,"1908"
"MULTIPOLYGON (((-3.34452756877978 55.9148471764155,-3.34466729607646 55.9293004105191,-3.30604952461011 55.9294119141767,-3.30592408494716 55.9149586451726,-3.34452756877978 55.9148471764155)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.16,002_16,"3","1905","1908","1905","1908","82877319","Edinburghshire, II.16","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877319.4.jpg,https://maps.nls.uk/view/82877319,"1908"
"MULTIPOLYGON (((-3.3063000537237 55.9583182844337,-3.30642573363329 55.9727716885678,-3.26776460133542 55.9728714680419,-3.26765326808326 55.9584184527884,-3.3063000537237 55.9583182844337)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.1,003_01,"3","1905","1908","1905","1908","82877328","Edinburghshire, III.1","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877328.4.jpg,https://maps.nls.uk/view/82877328,"1908"
"MULTIPOLYGON (((-3.26765326808326 55.9584184527884,-3.26776460133542 55.9728714680419,-3.22910288839222 55.9729593022618,-3.2290061655426 55.9585063571934,-3.26765326808326 55.9584184527884)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.2,003_02,"3","1905","1908","1905","1908","82877340","Edinburghshire, III.2","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877340.4.jpg,https://maps.nls.uk/view/82877340,"1908"
"MULTIPOLYGON (((-3.2290061655426 55.9585063571934,-3.22910288839222 55.9729593022618,-3.19044103939019 55.9730345987152,-3.19035893386503 55.9585814449766,-3.2290061655426 55.9585063571934)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.3,003_03,"3","1905","1908","1905","1908","82877352","Edinburghshire, III.3","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877352.4.jpg,https://maps.nls.uk/view/82877352,"1908"
"MULTIPOLYGON (((-3.19035893386503 55.9585814449766,-3.19044103939019 55.9730345987152,-3.15177941547965 55.9730977563949,-3.15171182605962 55.9586442842086,-3.19035893386503 55.9585814449766)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.4,003_04,"3","1905","1908","1905","1908","82877364","Edinburghshire, III.4","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877364.4.jpg,https://maps.nls.uk/view/82877364,"1908"
"MULTIPOLYGON (((-3.30617480024286 55.9438651282116,-3.3063000537237 55.9583182844337,-3.26765326808326 55.9584184527884,-3.26754221037405 55.9439653669594,-3.30617480024286 55.9438651282116)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.5,003_05,"3","1905","1908","1905","1908","82877376","Edinburghshire, III.5","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877376.4.jpg,https://maps.nls.uk/view/82877376,"1908"
"MULTIPOLYGON (((-3.26754221037405 55.9439653669594,-3.26765326808326 55.9584184527884,-3.2290061655426 55.9585063571934,-3.22890948968064 55.9440533622336,-3.26754221037405 55.9439653669594)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.6,003_06,"3","1905","1908","1905","1908","82877388","Edinburghshire, III.6","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877388.4.jpg,https://maps.nls.uk/view/82877388,"1908"
"MULTIPOLYGON (((-3.19027671339908 55.9441282290557,-3.19035893386503 55.9585814449766,-3.15171182605962 55.9586442842086,-3.1516437562581 55.9441907651029,-3.19027671339908 55.9441282290557)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.8,003_08,"3","1905","1908","1905","1908","82877412","Edinburghshire, III.8","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877412.4.jpg,https://maps.nls.uk/view/82877412,"1908"
"MULTIPOLYGON (((-3.30604952461011 55.9294119141767,-3.30617480024286 55.9438651282116,-3.26754221037405 55.9439653669594,-3.26743100734723 55.9295117807011,-3.30604952461011 55.9294119141767)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.9,003_09,"3","1905","1908","1905","1908","82877424","Edinburghshire, III.9","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877424.4.jpg,https://maps.nls.uk/view/82877424,"1908"
"MULTIPOLYGON (((-3.26743100734723 55.9295117807011,-3.26754221037405 55.9439653669594,-3.22890948968064 55.9440533622336,-3.22881236848374 55.9295996955886,-3.26743100734723 55.9295117807011)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.10,003_10,"3","1905","1908","1905","1908","82877436","Edinburghshire, III.10","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877436.4.jpg,https://maps.nls.uk/view/82877436,"1908"
"MULTIPOLYGON (((-3.19019412471971 55.9296743880778,-3.19027671339908 55.9441282290557,-3.1516437562581 55.9441907651029,-3.15157544432111 55.9297371881732,-3.19019412471971 55.9296743880778)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.12,003_12,"3","1905","1908","1905","1908","82877460","Edinburghshire, III.12","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877460.4.jpg,https://maps.nls.uk/view/82877460,"1908"
"MULTIPOLYGON (((-3.30592408494716 55.9149586451726,-3.30604952461011 55.9294119141767,-3.26743100734723 55.9295117807011,-3.26731981460477 55.9150580574464,-3.30592408494716 55.9149586451726)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.13,003_13,"3","1905","1908","1905","1908","82877472","Edinburghshire, III.13","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877472.4.jpg,https://maps.nls.uk/view/82877472,"1908"
"MULTIPOLYGON (((-3.26731981460477 55.9150580574464,-3.26743100734723 55.9295117807011,-3.22881236848374 55.9295996955886,-3.22871523747782 55.9151454836698,-3.26731981460477 55.9150580574464)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.14,003_14,"3","1905","1908","1905","1908","82877487","Edinburghshire, III.14","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877487.4.jpg,https://maps.nls.uk/view/82877487,"1908"
"MULTIPOLYGON (((-3.22871523747782 55.9151454836698,-3.22881236848374 55.9295996955886,-3.19019412471971 55.9296743880778,-3.19011139037105 55.9152204437349,-3.22871523747782 55.9151454836698)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.15,003_15,"3",1905 to 1906,"1908","1905","1908","82877499","Edinburghshire, III.15","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905 to 1906<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877499.4.jpg,https://maps.nls.uk/view/82877499,"1908"
"MULTIPOLYGON (((-3.15171182605962 55.9586442842086,-3.15177941547965 55.9730977563949,-3.11311711932733 55.9731489719506,-3.11306427070517 55.9586955337644,-3.15171182605962 55.9586442842086)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IV.1 & 2,004_01,"3","1905","1908","1905","1908","82877523","Edinburghshire, IV.1 & 2","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877523.4.jpg,https://maps.nls.uk/view/82877523,"1908"
"MULTIPOLYGON (((-3.1516437562581 55.9441907651029,-3.15171182605962 55.9586442842086,-3.11306427070517 55.9586955337644,-3.11301105457344 55.9442420352515,-3.1516437562581 55.9441907651029)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IV.5,004_05,"3",1905 to 1906,"1908","1905","1908","82877532","Edinburghshire, IV.5","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905 to 1906<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877532.4.jpg,https://maps.nls.uk/view/82877532,"1908"
"MULTIPOLYGON (((-3.30579889983286 55.9005052836406,-3.30592408494716 55.9149586451726,-3.26731981460477 55.9150580574464,-3.26720899614519 55.9006045908487,-3.30579889983286 55.9005052836406)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.1,007_01,"3","1905","1908","1905","1908","82877847","Edinburghshire, VII.1","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877847.4.jpg,https://maps.nls.uk/view/82877847,"1908"
"MULTIPOLYGON (((-3.26720899614519 55.9006045908487,-3.26731981460477 55.9150580574464,-3.22871523747782 55.9151454836698,-3.22861899706368 55.9006916896503,-3.26720899614519 55.9006045908487)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.2,007_02,"3","1905","1908","1905","1908","82877859","Edinburghshire, VII.2","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877859.4.jpg,https://maps.nls.uk/view/82877859,"1908"
"MULTIPOLYGON (((-3.22861899706368 55.9006916896503,-3.22871523747782 55.9151454836698,-3.19011139037105 55.9152204437349,-3.19002888227374 55.9007668904947,-3.22861899706368 55.9006916896503)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.3,007_03,"3","1905","1908","1905","1908","82877871","Edinburghshire, VII.3","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877871.4.jpg,https://maps.nls.uk/view/82877871,"1908"
"MULTIPOLYGON (((-3.19002888227374 55.9007668904947,-3.19011139037105 55.9152204437349,-3.15150713593274 55.9152836175574,-3.15143860733045 55.9008300830056,-3.19002888227374 55.9007668904947)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.4,007_04,"3","1905","1908","1905","1908","82877883","Edinburghshire, VII.4","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877883.4.jpg,https://maps.nls.uk/view/82877883,"1908"
"MULTIPOLYGON (((-3.15143860733045 55.9008300830056,-3.15150713593274 55.9152836175574,-3.11290349923602 55.9153346752851,-3.11285022000028 55.9008808036615,-3.15143860733045 55.9008300830056)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VIII.1,008_01,"3","1905","1908","1905","1908","82878015","Edinburghshire, VIII.1","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82878015.4.jpg,https://maps.nls.uk/view/82878015,"1908"
"MULTIPOLYGON (((-3.11285022000028 55.9008808036615,-3.11290349923602 55.9153346752851,-3.07430013128504 55.9153736766447,-3.07426109646886 55.9009197340141,-3.11285022000028 55.9008808036615)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VIII.2,008_02,"3","1905","1908","1905","1908","82878027","Edinburghshire, VIII.2","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82878027.4.jpg,https://maps.nls.uk/view/82878027,"1908"
"MULTIPOLYGON (((-3.15130561786472 55.8719223746588,-3.15137199329922 55.886376297162,-3.11279752980166 55.8864269337664,-3.1127442346358 55.871973106658,-3.15130561786472 55.8719223746588)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VIII.9,008_09,"3",1905 to 1906,"1908","1905","1908","82878099","Edinburghshire, VIII.9","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1905 to 1906<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82878099.4.jpg,https://maps.nls.uk/view/82878099,"1908"
"MULTIPOLYGON (((-3.22919969773773 55.9874125100071,-3.22929661400893 56.0018661160787,-3.19060609403051 56.0019417104905,-3.19052348927264 55.9874880363694,-3.22919969773773 55.9874125100071)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,I.15 & 11,001_11,"3","1906","1908","1906","1908","82877157","Edinburghshire, I.15 & 11","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1906<br>Published: 1908",https://deriv.nls.uk/dcn4/8287/82877157.4.jpg,https://maps.nls.uk/view/82877157,"1908"
